"","lambda","mu","prob","meanN","meanNb"
"3041",0.02401,2.33,-46.818468741531,1.97111693254343,1.84685234720095
"3042",0.02501,2.33,-46.9037255636159,1.99945189511566,1.87206009596219
"3043",1e-05,2.35,-43.1409971656155,1.00055038517372,1.0004594355481
"3044",0.00101,2.35,-43.4170091552768,1.05453451468124,1.04573678076753
"3045",0.00201,2.35,-43.6738088630094,1.10663807409477,1.08980193666637
"3046",0.00301,2.35,-43.9135793087186,1.15711798473737,1.13279144786705
"3047",0.00401,2.35,-44.1381964746636,1.20617525354356,1.17481532484097
"3048",0.00501,2.35,-44.3492676283667,1.25396521247723,1.21595913530941
"3049",0.00601,2.35,-44.5481683577253,1.30060343668496,1.25628462494219
"3050",0.00701,2.35,-44.7360764865027,1.34617094723641,1.29583120487893
"3051",0.00801,2.35,-44.9140025885721,1.39072007957643,1.33461901504659
"3052",0.00901,2.35,-45.0828169613702,1.43428087483671,1.37265310650464
"3053",0.01001,2.35,-45.2432729764654,1.47686734573063,1.40992795033159
"3054",0.01101,2.35,-45.3960268819271,1.5184830483003,1.44643162453929
"3055",0.01201,2.35,-45.5416543023456,1.55912564988404,1.48214930933013
"3056",0.01301,2.35,-45.6806638015093,1.59879041980404,1.51706596305632
"3057",0.01401,2.35,-45.8135079254068,1.63747272265666,1.55116820871481
"3058",0.01501,2.35,-45.9405921426305,1.67516966969143,1.58444554179746
"3059",0.01601,2.35,-46.0622820655242,1.7118811053304,1.61689099843427
"3060",0.01701,2.35,-46.1789092857476,1.74761009638541,1.6485014201391
"3061",0.01801,2.35,-46.2907761040868,1.78236306756269,1.67927743395609
"3062",0.01901,2.35,-46.3981593831615,1.81614969861225,1.70922324421267
"3063",0.02001,2.35,-46.5013137064617,1.84898267147539,1.73834630975781
"3064",0.02101,2.35,-46.6004739890099,1.88087733246904,1.76665696098623
"3065",0.02201,2.35,-46.6958576537379,1.91185131564383,1.79416799494916
"3066",0.02301,2.35,-46.7876664626763,1.94192415878709,1.82089427439122
"3067",0.02401,2.35,-46.8760880723327,1.97111693254343,1.84685234720095
"3068",0.02501,2.35,-46.961297367235,1.99945189511566,1.87206009596219
"3069",1e-05,2.37,-43.2027815244233,1.00055038517372,1.0004594355481
"3070",0.00101,2.37,-43.4784598040368,1.05453451468124,1.04573678076753
"3071",0.00201,2.37,-43.7349711878276,1.10663807409477,1.08980193666637
"3072",0.00301,2.37,-43.9744895146429,1.15711798473737,1.13279144786705
"3073",0.00401,2.37,-44.1988839587885,1.20617525354356,1.17481532484097
"3074",0.00501,2.37,-44.4097566278384,1.25396521247723,1.21595913530941
"3075",0.00601,2.37,-44.6084791259114,1.30060343668496,1.25628462494219
"3076",0.00701,2.37,-44.7962261515405,1.34617094723641,1.29583120487893
"3077",0.00801,2.37,-44.9740057917335,1.39072007957643,1.33461901504659
"3078",0.00901,2.37,-45.1426863391144,1.43428087483671,1.37265310650464
"3079",0.01001,2.37,-45.3030195294262,1.47686734573063,1.40992795033159
"3080",0.01101,2.37,-45.4556602608841,1.5184830483003,1.44643162453929
"3081",0.01201,2.37,-45.601183032467,1.55912564988404,1.48214930933013
"3082",0.01301,2.37,-45.7400954601778,1.59879041980404,1.51706596305632
"3083",0.01401,2.37,-45.8728492847713,1.63747272265666,1.55116820871481
"3084",0.01501,2.37,-45.9998492850765,1.67516966969143,1.58444554179746
"3085",0.01601,2.37,-46.1214604781427,1.7118811053304,1.61689099843427
"3086",0.01701,2.37,-46.238013938354,1.74761009638541,1.6485014201391
"3087",0.01801,2.37,-46.3498115142302,1.78236306756269,1.67927743395609
"3088",0.01901,2.37,-46.4571296707431,1.81614969861225,1.70922324421267
"3089",0.02001,2.37,-46.5602226399784,1.84898267147539,1.73834630975781
"3090",0.02101,2.37,-46.659325024987,1.88087733246904,1.76665696098623
"3091",0.02201,2.37,-46.7546539705739,1.91185131564383,1.79416799494916
"3092",0.02301,2.37,-46.8464109898669,1.94192415878709,1.82089427439122
"3093",0.02401,2.37,-46.9347835158447,1.97111693254343,1.84685234720095
"3094",0.02501,2.37,-47.0199462316472,1.99945189511566,1.87206009596219
"3095",1e-05,2.39,-43.2655632330622,1.00055038517372,1.0004594355481
"3096",0.00101,2.39,-43.5409144131583,1.05453451468124,1.04573678076753
"3097",0.00201,2.39,-43.7971431886191,1.10663807409477,1.08980193666637
"3098",0.00301,2.39,-44.0364143975874,1.15711798473737,1.13279144786705
"3099",0.00401,2.39,-44.2605905403011,1.20617525354356,1.17481532484097
"3100",0.00501,2.39,-44.4712686659617,1.25396521247723,1.21595913530941
"3101",0.00601,2.39,-44.6698164733978,1.30060343668496,1.25628462494219
"3102",0.00701,2.39,-44.8574055975318,1.34617094723641,1.29583120487893
"3103",0.00801,2.39,-45.0350416875718,1.39072007957643,1.33461901504659
"3104",0.00901,2.39,-45.2035910709073,1.43428087483671,1.37265310650464
"3105",0.01001,2.39,-45.3638038797674,1.47686734573063,1.40992795033159
"3106",0.01101,2.39,-45.5163336891892,1.5184830483003,1.44643162453929
"3107",0.01201,2.39,-45.6617538947946,1.55912564988404,1.48214930933013
"3108",0.01301,2.39,-45.8005711835481,1.59879041980404,1.51706596305632
"3109",0.01401,2.39,-45.9332365069043,1.63747272265666,1.55116820871481
"3110",0.01501,2.39,-46.060153967583,1.67516966969143,1.58444554179746
"3111",0.01601,2.39,-46.1816879991272,1.7118811053304,1.61689099843427
"3112",0.01701,2.39,-46.2981691688927,1.74761009638541,1.6485014201391
"3113",0.01801,2.39,-46.4098988820951,1.78236306756269,1.67927743395609
"3114",0.01901,2.39,-46.5171532139404,1.81614969861225,1.70922324421267
"3115",0.02001,2.39,-46.6201860520781,1.84898267147539,1.73834630975781
"3116",0.02101,2.39,-46.7192316937752,1.88087733246904,1.76665696098623
"3117",0.02201,2.39,-46.8145070112278,1.91185131564383,1.79416799494916
"3118",0.02301,2.39,-46.9062132736007,1.94192415878709,1.82089427439122
"3119",0.02401,2.39,-46.9945376947803,1.97111693254343,1.84685234720095
"3120",0.02501,2.39,-47.0796547605174,1.99945189511566,1.87206009596219
"3121",1e-05,2.41,-43.3293265952995,1.00055038517372,1.0004594355481
"3122",0.00101,2.41,-43.6043571554085,1.05453451468124,1.04573678076753
"3123",0.00201,2.41,-43.8603089247229,1.10663807409477,1.08980193666637
"3124",0.00301,2.41,-44.0993379175194,1.15711798473737,1.13279144786705
"3125",0.00401,2.41,-44.3233000912399,1.20617525354356,1.17481532484097
"3126",0.00501,2.41,-44.5337875363005,1.25396521247723,1.21595913530941
"3127",0.00601,2.41,-44.7321641231893,1.30060343668496,1.25628462494219
"3128",0.00701,2.41,-44.9195984836285,1.34617094723641,1.29583120487893
"3129",0.00801,2.41,-45.0970938771275,1.39072007957643,1.33461901504659
