"","lambda","mu","prob","meanN","meanNb"
"1700",0.161,0.67,-16.9256647972839,3.15754598967079,2.78566609276278
"1701",0.171,0.67,-16.9462057760943,3.17873669713965,2.80361506886652
"1702",0.181,0.67,-16.9647575677865,3.19782238711519,2.81978314129999
"1703",0.191,0.67,-16.9815947852584,3.21510037402357,2.83442153755169
"1704",0.201,0.67,-16.9969438866058,3.23081476034779,2.84773657975565
"1705",0.211,0.67,-17.0109932522648,3.24516777675818,2.85989924146489
"1706",0.221,0.67,-17.0239008415019,3.25832835390659,2.87105237484745
"1707",0.231,0.67,-17.0358000783216,3.27043867991394,2.88131624183372
"1708",0.241,0.67,-17.0468044253627,3.28161927272682,2.89079279414228
"1709",0.251,0.67,-17.0570109738577,3.29197294403682,2.89956901910252
"1710",0.261,0.67,-17.0665032874541,3.30158792648113,2.90771957999988
"1711",0.271,0.67,-17.0753536743659,3.31054036254844,2.91530891805219
"1712",0.281,0.67,-17.083625017307,3.31889630176211,2.92239293951017
"1713",0.291,0.67,-17.0913722582755,3.32671331557544,2.92902038012058
"1714",0.301,0.67,-17.098643611693,3.33404181250807,2.93523391653705
"1715",0.311,0.67,-17.1054815620699,3.34092611634802,2.94107107766602
"1716",0.321,0.67,-17.1119236894975,3.34740535566607,2.94656499665167
"1717",0.331,0.67,-17.1180033566146,3.35351420200148,2.95174503502649
"1718",0.341,0.67,-17.1237502833941,3.3592834858729,2.95663730363566
"1719",0.351,0.67,-17.1291910305313,3.36474071353272,2.96126509968468
"1720",0.361,0.67,-17.1343494079296,3.36991050260609,2.96564927522928
"1721",0.371,0.67,-17.1392468214716,3.3748149510689,2.96980854931581
"1722",0.381,0.67,-17.1439025686731,3.3794739511525,2.97375977356102
"1723",0.391,0.67,-17.1483340917926,3.38390545752016,2.97751815906664
"1724",0.401,0.67,-17.1525571953646,3.38812571729301,2.981097471072
"1725",0.411,0.67,-17.1565862338528,3.39214946810312,2.984510196566
"1726",0.421,0.67,-17.1604342740993,3.39599010923546,2.98776768913648
"1727",0.431,0.67,-17.16411323643,3.39965985002562,2.99088029457996
"1728",0.441,0.67,-17.1676340176161,3.4031698389599,2.99385746018529
"1729",0.451,0.67,-17.1710065983534,3.40653027634042,2.9967078301122
"1730",0.461,0.67,-17.174240137486,3.40975051290327,2.99943932888374
"1731",0.471,0.67,-17.1773430548422,3.41283913638957,3.00205923468435
"1732",0.481,0.67,-17.1803231042549,3.41580404775072,3.00457424388534
"1733",0.491,0.67,-17.1831874380972,3.41865252840623,3.00699052799775
"1734",0.501,0.67,-17.1859426644604,3.42139129975549,3.00931378406882
"1735",0.001,0.69,-14.9497306986222,1.05617595746841,1.0430779727388
"1736",0.011,0.69,-15.4332147684956,1.53506957185664,1.42587058996679
"1737",0.021,0.69,-15.7790985809473,1.90594096258846,1.73239708662601
"1738",0.031,0.69,-16.0276819798214,2.18290775499153,1.96379350251501
"1739",0.041,0.69,-16.2113001689184,2.38862263654166,2.13648470400638
"1740",0.051,0.69,-16.3510813530797,2.5443759950661,2.26757735707534
"1741",0.061,0.69,-16.4604734927775,2.66524196047002,2.36947288237684
"1742",0.071,0.69,-16.5481538643412,2.76127085868732,2.45051990338865
"1743",0.081,0.69,-16.6198742325825,2.83917455036884,2.5163225905469
"1744",0.091,0.69,-16.6795608252683,2.90352456549076,2.57071014479869
"1745",0.101,0.69,-16.7299698359843,2.95751085609322,2.61636027920014
"1746",0.111,0.69,-16.7730860004794,3.0034135905196,2.65518998594485
"1747",0.121,0.69,-16.8103714223121,3.04289962905454,2.68860227784163
"1748",0.131,0.69,-16.8429251991832,3.07721259873152,2.71764488846988
"1749",0.141,0.69,-16.8715885305831,3.10729754392627,2.74311458809506
"1750",0.151,0.69,-16.8970156214939,3.13388453887279,2.76562727791222
"1751",0.161,0.69,-16.9197225837794,3.15754598967079,2.78566609276278
"1752",0.171,0.69,-16.9401218498879,3.17873669713965,2.80361506886652
"1753",0.181,0.69,-16.9585468392289,3.19782238711519,2.81978314129999
"1754",0.191,0.69,-16.9752699355309,3.21510037402357,2.83442153755169
"1755",0.201,0.69,-16.9905157899189,3.23081476034779,2.84773657975565
"1756",0.211,0.69,-17.0044713028355,3.24516777675818,2.85989924146489
"1757",0.221,0.69,-17.0172932099194,3.25832835390659,2.87105237484745
"1758",0.231,0.69,-17.0291139148094,3.27043867991394,2.88131624183372
"1759",0.241,0.69,-17.0400460225901,3.28161927272682,2.89079279414228
"1760",0.251,0.69,-17.0501858985756,3.29197294403682,2.89956901910252
"1761",0.261,0.69,-17.0596164878445,3.30158792648113,2.90771957999988
"1762",0.271,0.69,-17.0684095682823,3.31054036254844,2.91530891805219
"1763",0.281,0.69,-17.0766275653431,3.31889630176211,2.92239293951017
"1764",0.291,0.69,-17.0843250246844,3.32671331557544,2.92902038012058
"1765",0.301,0.69,-17.0915498154998,3.33404181250807,2.93523391653705
"1766",0.311,0.69,-17.0983441202112,3.34092611634802,2.94107107766602
"1767",0.321,0.69,-17.1047452534344,3.34740535566607,2.94656499665167
"1768",0.331,0.69,-17.1107863435661,3.35351420200148,2.95174503502649
"1769",0.341,0.69,-17.1164969031143,3.3592834858729,2.95663730363566
"1770",0.351,0.69,-17.1219033083687,3.36474071353272,2.96126509968468
"1771",0.361,0.69,-17.127029204773,3.36991050260609,2.96564927522928
"1772",0.371,0.69,-17.1318958510715,3.3748149510689,2.96980854931581
"1773",0.381,0.69,-17.1365224127435,3.3794739511525,2.97375977356102
"1774",0.391,0.69,-17.1409262132251,3.38390545752016,2.97751815906664
"1775",0.401,0.69,-17.145122949831,3.38812571729301,2.981097471072
"1776",0.411,0.69,-17.1491268800257,3.39214946810312,2.984510196566
"1777",0.421,0.69,-17.1529509826846,3.39599010923546,2.98776768913648
"1778",0.431,0.69,-17.1566070981723,3.39965985002562,2.99088029457996
"1779",0.441,0.69,-17.1601060504143,3.4031698389599,2.99385746018529
"1780",0.451,0.69,-17.1634577536022,3.40653027634042,2.9967078301122
"1781",0.461,0.69,-17.166671305743,3.40975051290327,2.99943932888374
"1782",0.471,0.69,-17.1697550709036,3.41283913638957,3.00205923468435
"1783",0.481,0.69,-17.1727167517134,3.41580404775072,3.00457424388534
"1784",0.491,0.69,-17.1755634534434,3.41865252840623,3.00699052799775
"1785",0.501,0.69,-17.1783017407822,3.42139129975549,3.00931378406882
"1786",0.001,0.71,-14.9750898332309,1.05617595746841,1.0430779727388
"1787",0.011,0.71,-15.4462658242103,1.53506957185664,1.42587058996679
"1788",0.021,0.71,-15.7867142344471,1.90594096258846,1.73239708662601
"1789",0.031,0.71,-16.0322260169041,2.18290775499153,1.96379350251501
"1790",0.041,0.71,-16.2138881660977,2.38862263654166,2.13648470400638
"1791",0.051,0.71,-16.3523233293315,2.5443759950661,2.26757735707534
"1792",0.061,0.71,-16.4607364020785,2.66524196047002,2.36947288237684
