"","lambda","mu","prob","meanN","meanNb"
"714",0.91,1.29,-45.3248063653929,1.55248302016967,1.47050104447676
"715",1.01,1.29,-45.7495521220625,1.61990558393662,1.52891460972885
"716",0.01,1.31,-41.9609646643723,1.00545734990796,1.00455644900706
"717",0.11,1.31,-42.2846932181151,1.06078965110932,1.05087974119941
"718",0.21,1.31,-42.6199093103907,1.11750027446782,1.0985813555489
"719",0.31,1.31,-42.9665514289251,1.17558557599701,1.14765764806927
"720",0.41,1.31,-43.3245474973324,1.235039658623,1.19810272168897
"721",0.51,1.31,-43.693815074064,1.29585440665845,1.24990846073688
"722",0.61,1.31,-44.0742616003654,1.35801953268528,1.30306457786813
"723",0.71,1.31,-44.4657846944835,1.4215226358386,1.35755867246744
"724",0.81,1.31,-44.8682724886098,1.48634927003117,1.41337629914387
"725",0.91,1.31,-45.2816040042472,1.55248302016967,1.47050104447676
"726",1.01,1.31,-45.7056495608855,1.61990558393662,1.52891460972885
"727",0.01,1.33,-41.9289248940697,1.00545734990796,1.00455644900706
"728",0.11,1.33,-42.2516648971687,1.06078965110932,1.05087974119941
"729",0.21,1.33,-42.5859290163594,1.11750027446782,1.0985813555489
"730",0.31,1.33,-42.9316550357529,1.17558557599701,1.14765764806927
"731",0.41,1.33,-43.2887701573059,1.235039658623,1.19810272168897
"732",0.51,1.33,-43.6571912006655,1.29585440665845,1.24990846073688
"733",0.61,1.33,-44.0368248521664,1.35801953268528,1.30306457786813
"734",0.71,1.33,-44.4275679602112,1.4215226358386,1.35755867246744
"735",0.81,1.33,-44.8293078735067,1.48634927003117,1.41337629914387
"736",0.91,1.33,-45.2419228178344,1.55248302016967,1.47050104447676
"737",1.01,1.33,-45.6652823062245,1.61990558393662,1.52891460972885
"738",0.01,1.35,-41.9001420235887,1.00545734990796,1.00455644900706
"739",0.11,1.35,-42.2219130778476,1.06078965110932,1.05087974119941
"740",0.21,1.35,-42.5552441431498,1.11750027446782,1.0985813555489
"741",0.31,1.35,-42.9000723091905,1.17558557599701,1.14765764806927
"742",0.41,1.35,-43.2563240661281,1.235039658623,1.19810272168897
"743",0.51,1.35,-43.6239155053004,1.29585440665845,1.24990846073688
"744",0.61,1.35,-44.0027525692319,1.35801953268528,1.30306457786813
"745",0.71,1.35,-44.3927313481539,1.4215226358386,1.35755867246744
"746",0.81,1.35,-44.7937384195005,1.48634927003117,1.41337629914387
"747",0.91,1.35,-45.2056512260439,1.55248302016967,1.47050104447676
"748",1.01,1.35,-45.628338487528,1.61990558393662,1.52891460972885
"749",0.01,1.37,-41.8745127920481,1.00545734990796,1.00455644900706
"750",0.11,1.37,-42.1953341100614,1.06078965110932,1.05087974119941
"751",0.21,1.37,-42.5277506633386,1.11750027446782,1.0985813555489
"752",0.31,1.37,-42.8716988563567,1.17558557599701,1.14765764806927
"753",0.41,1.37,-43.2271044773109,1.235039658623,1.19810272168897
"754",0.51,1.37,-43.5938828996761,1.29585440665845,1.24990846073688
"755",0.61,1.37,-43.9719393331962,1.35801953268528,1.30306457786813
"756",0.71,1.37,-44.3611691215133,1.4215226358386,1.35755867246744
