"","prop","mu","prob","meanN","meanNb"
"526",0.95,1.17,-17.8780459926354,3.48605820696548,3.01496926007825
"527",0.96,1.17,-17.4696652978109,3.48682244886804,3.01563022604803
"528",0.97,1.17,-17.0655166034246,3.48757121627365,3.0162778086691
"529",0.98,1.17,-16.6655130969042,3.48830497438032,3.01691241027487
"530",0.99,1.17,-16.2695706098075,3.4890241699279,3.01753441723495
"531",1,1.17,-15.8776075115209,3.48972923210449,3.01814420073902
"532",0.92,1.19,-19.1789506049134,3.48366768476924,3.01290178142205
"533",0.93,1.19,-18.757324876849,3.48448134074769,3.0136054838899
"534",0.94,1.19,-18.3402086012958,3.4852780059468,3.01429449162967
"535",0.95,1.19,-17.9275063374049,3.48605820696548,3.01496926007825
"536",0.96,1.19,-17.5191256425804,3.48682244886804,3.01563022604803
"537",0.97,1.19,-17.1149769481941,3.48757121627365,3.0162778086691
"538",0.98,1.19,-16.7149734416737,3.48830497438032,3.01691241027487
"539",0.99,1.19,-16.319030954577,3.4890241699279,3.01753441723495
"540",1,1.19,-15.9270678562904,3.48972923210449,3.01814420073902
"541",0.92,1.21,-19.22877189929,3.48366768476924,3.01290178142205
"542",0.93,1.21,-18.8071461712256,3.48448134074769,3.0136054838899
"543",0.94,1.21,-18.3900298956725,3.4852780059468,3.01429449162967
"544",0.95,1.21,-17.9773276317815,3.48605820696548,3.01496926007825
"545",0.96,1.21,-17.568946936957,3.48682244886804,3.01563022604803
"546",0.97,1.21,-17.1647982425707,3.48757121627365,3.0162778086691
"547",0.98,1.21,-16.7647947360503,3.48830497438032,3.01691241027487
"548",0.99,1.21,-16.3688522489536,3.4890241699279,3.01753441723495
"549",1,1.21,-15.9768891506671,3.48972923210449,3.01814420073902
"550",0.92,1.23,-19.2789335979522,3.48366768476924,3.01290178142205
"551",0.93,1.23,-18.8573078698878,3.48448134074769,3.0136054838899
"552",0.94,1.23,-18.4401915943346,3.4852780059468,3.01429449162967
"553",0.95,1.23,-18.0274893304437,3.48605820696548,3.01496926007825
"554",0.96,1.23,-17.6191086356192,3.48682244886804,3.01563022604803
"555",0.97,1.23,-17.2149599412328,3.48757121627365,3.0162778086691
"556",0.98,1.23,-16.8149564347125,3.48830497438032,3.01691241027487
"557",0.99,1.23,-16.4190139476158,3.4890241699279,3.01753441723495
"558",1,1.23,-16.0270508493292,3.48972923210449,3.01814420073902
"559",0.92,1.25,-19.3294165685146,3.48366768476924,3.01290178142205
"560",0.93,1.25,-18.9077908404502,3.48448134074769,3.0136054838899
"561",0.94,1.25,-18.490674564897,3.4852780059468,3.01429449162967
"562",0.95,1.25,-18.077972301006,3.48605820696548,3.01496926007825
"563",0.96,1.25,-17.6695916061815,3.48682244886804,3.01563022604803
"564",0.97,1.25,-17.2654429117952,3.48757121627365,3.0162778086691
"565",0.98,1.25,-16.8654394052748,3.48830497438032,3.01691241027487
"566",0.99,1.25,-16.4694969181781,3.4890241699279,3.01753441723495
"567",1,1.25,-16.0775338198916,3.48972923210449,3.01814420073902
"568",0.92,1.27,-19.380202987476,3.48366768476924,3.01290178142205
"569",0.93,1.27,-18.9585772594116,3.48448134074769,3.0136054838899
"570",0.94,1.27,-18.5414609838584,3.4852780059468,3.01429449162967
"571",0.95,1.27,-18.1287587199675,3.48605820696548,3.01496926007825
"572",0.96,1.27,-17.720378025143,3.48682244886804,3.01563022604803
"573",0.97,1.27,-17.3162293307566,3.48757121627365,3.0162778086691
"574",0.98,1.27,-16.9162258242363,3.48830497438032,3.01691241027487
"575",0.99,1.27,-16.5202833371396,3.4890241699279,3.01753441723495
"576",1,1.27,-16.128320238853,3.48972923210449,3.01814420073902
"577",0.92,1.29,-19.431276244768,3.48366768476924,3.01290178142205
"578",0.93,1.29,-19.0096505167036,3.48448134074769,3.0136054838899
"579",0.94,1.29,-18.5925342411504,3.4852780059468,3.01429449162967
"580",0.95,1.29,-18.1798319772595,3.48605820696548,3.01496926007825
"581",0.96,1.29,-17.771451282435,3.48682244886804,3.01563022604803
"582",0.97,1.29,-17.3673025880487,3.48757121627365,3.0162778086691
"583",0.98,1.29,-16.9672990815283,3.48830497438032,3.01691241027487
"584",0.99,1.29,-16.5713565944316,3.4890241699279,3.01753441723495
"585",1,1.29,-16.179393496145,3.48972923210449,3.01814420073902
"586",0.92,1.31,-19.4826208560936,3.48366768476924,3.01290178142205
"587",0.93,1.31,-19.0609951280292,3.48448134074769,3.0136054838899
"588",0.94,1.31,-18.643878852476,3.4852780059468,3.01429449162967
"589",0.95,1.31,-18.2311765885851,3.48605820696548,3.01496926007825
"590",0.96,1.31,-17.8227958937605,3.48682244886804,3.01563022604803
"591",0.97,1.31,-17.4186471993742,3.48757121627365,3.0162778086691
"592",0.98,1.31,-17.0186436928539,3.48830497438032,3.01691241027487
"593",0.99,1.31,-16.6227012057572,3.4890241699279,3.01753441723495
"594",1,1.31,-16.2307381074706,3.48972923210449,3.01814420073902
"595",0.92,1.33,-19.5342223823319,3.48366768476924,3.01290178142205
"596",0.93,1.33,-19.1125966542675,3.48448134074769,3.0136054838899
"597",0.94,1.33,-18.6954803787143,3.4852780059468,3.01429449162967
"598",0.95,1.33,-18.2827781148234,3.48605820696548,3.01496926007825
"599",0.96,1.33,-17.8743974199988,3.48682244886804,3.01563022604803
"600",0.97,1.33,-17.4702487256125,3.48757121627365,3.0162778086691
"601",0.98,1.33,-17.0702452190922,3.48830497438032,3.01691241027487
"602",0.99,1.33,-16.6743027319954,3.4890241699279,3.01753441723495
"603",1,1.33,-16.2823396337089,3.48972923210449,3.01814420073902
"604",0.92,1.35,-19.5860673553614,3.48366768476924,3.01290178142205
"605",0.93,1.35,-19.164441627297,3.48448134074769,3.0136054838899
"606",0.94,1.35,-18.7473253517439,3.4852780059468,3.01429449162967
"607",0.95,1.35,-18.3346230878529,3.48605820696548,3.01496926007825
"608",0.96,1.35,-17.9262423930284,3.48682244886804,3.01563022604803
"609",0.97,1.35,-17.5220936986421,3.48757121627365,3.0162778086691
"610",0.98,1.35,-17.1220901921217,3.48830497438032,3.01691241027487
"611",0.99,1.35,-16.726147705025,3.4890241699279,3.01753441723495
"612",1,1.35,-16.3341846067384,3.48972923210449,3.01814420073902
"613",0.92,1.37,-19.638143209721,3.48366768476924,3.01290178142205
"614",0.93,1.37,-19.2165174816566,3.48448134074769,3.0136054838899
"615",0.94,1.37,-18.7994012061035,3.4852780059468,3.01429449162967
"616",0.95,1.37,-18.3866989422125,3.48605820696548,3.01496926007825
"617",0.96,1.37,-17.978318247388,3.48682244886804,3.01563022604803
"618",0.97,1.37,-17.5741695530017,3.48757121627365,3.0162778086691
"619",0.98,1.37,-17.1741660464813,3.48830497438032,3.01691241027487
"620",0.99,1.37,-16.7782235593846,3.4890241699279,3.01753441723495
"621",1,1.37,-16.3862604610981,3.48972923210449,3.01814420073902
"622",0.92,1.39,-19.6904382195876,3.48366768476924,3.01290178142205
"623",0.93,1.39,-19.2688124915231,3.48448134074769,3.0136054838899
"624",0.94,1.39,-18.85169621597,3.4852780059468,3.01429449162967
"625",0.95,1.39,-18.438993952079,3.48605820696548,3.01496926007825
"626",0.96,1.39,-18.0306132572545,3.48682244886804,3.01563022604803
"627",0.97,1.39,-17.6264645628682,3.48757121627365,3.0162778086691
"628",0.98,1.39,-17.2264610563478,3.48830497438032,3.01691241027487
"629",0.99,1.39,-16.8305185692511,3.4890241699279,3.01753441723495
"630",1,1.39,-16.4385554709646,3.48972923210449,3.01814420073902
"631",0.92,1.41,-19.7429414406021,3.48366768476924,3.01290178142205
"632",0.93,1.41,-19.3213157125376,3.48448134074769,3.0136054838899
"633",0.94,1.41,-18.9041994369845,3.4852780059468,3.01429449162967
"634",0.95,1.41,-18.4914971730935,3.48605820696548,3.01496926007825
"635",0.96,1.41,-18.083116478269,3.48682244886804,3.01563022604803
"636",0.97,1.41,-17.6789677838827,3.48757121627365,3.0162778086691
"637",0.98,1.41,-17.2789642773623,3.48830497438032,3.01691241027487
"638",0.99,1.41,-16.8830217902656,3.4890241699279,3.01753441723495
"639",1,1.41,-16.4910586919791,3.48972923210449,3.01814420073902
"640",0.92,1.43,-19.7956426561229,3.48366768476924,3.01290178142205
"641",0.93,1.43,-19.3740169280585,3.48448134074769,3.0136054838899
"642",0.94,1.43,-18.9569006525053,3.4852780059468,3.01429449162967
"643",0.95,1.43,-18.5441983886143,3.48605820696548,3.01496926007825
"644",0.96,1.43,-18.1358176937898,3.48682244886804,3.01563022604803
"645",0.97,1.43,-17.7316689994035,3.48757121627365,3.0162778086691
"646",0.98,1.43,-17.3316654928831,3.48830497438032,3.01691241027487
"647",0.99,1.43,-16.9357230057864,3.4890241699279,3.01753441723495
"648",1,1.43,-16.5437599074999,3.48972923210449,3.01814420073902
"649",0.92,1.45,-19.848532327525,3.48366768476924,3.01290178142205
"650",0.93,1.45,-19.4269065994605,3.48448134074769,3.0136054838899
"651",0.94,1.45,-19.0097903239074,3.4852780059468,3.01429449162967
"652",0.95,1.45,-18.5970880600164,3.48605820696548,3.01496926007825
"653",0.96,1.45,-18.1887073651919,3.48682244886804,3.01563022604803
"654",0.97,1.45,-17.7845586708056,3.48757121627365,3.0162778086691
"655",0.98,1.45,-17.3845551642852,3.48830497438032,3.01691241027487
"656",0.99,1.45,-16.9886126771885,3.4890241699279,3.01753441723495
"657",1,1.45,-16.596649578902,3.48972923210449,3.01814420073902
"658",0.92,1.47,-19.9016015482026,3.48366768476924,3.01290178142205
"659",0.93,1.47,-19.4799758201382,3.48448134074769,3.0136054838899
"660",0.94,1.47,-19.0628595445851,3.4852780059468,3.01429449162967
"661",0.95,1.47,-18.6501572806941,3.48605820696548,3.01496926007825
"662",0.96,1.47,-18.2417765858696,3.48682244886804,3.01563022604803
"663",0.97,1.47,-17.8376278914833,3.48757121627365,3.0162778086691
"664",0.98,1.47,-17.4376243849629,3.48830497438032,3.01691241027487
"665",0.99,1.47,-17.0416818978662,3.4890241699279,3.01753441723495
"666",1,1.47,-16.6497187995797,3.48972923210449,3.01814420073902
"667",0.92,1.49,-19.9548420009651,3.48366768476924,3.01290178142205
"668",0.93,1.49,-19.5332162729006,3.48448134074769,3.0136054838899
"669",0.94,1.49,-19.1160999973475,3.4852780059468,3.01429449162967
"670",0.95,1.49,-18.7033977334565,3.48605820696548,3.01496926007825
"671",0.96,1.49,-18.295017038632,3.48682244886804,3.01563022604803
"672",0.97,1.49,-17.8908683442457,3.48757121627365,3.0162778086691
"673",0.98,1.49,-17.4908648377253,3.48830497438032,3.01691241027487
"674",0.99,1.49,-17.0949223506286,3.4890241699279,3.01753441723495
"675",1,1.49,-16.7029592523421,3.48972923210449,3.01814420073902
"676",0.92,1.51,-20.0082459185432,3.48366768476924,3.01290178142205
"677",0.93,1.51,-19.5866201904787,3.48448134074769,3.0136054838899
"678",0.94,1.51,-19.1695039149256,3.4852780059468,3.01429449162967
"679",0.95,1.51,-18.7568016510346,3.48605820696548,3.01496926007825
"680",0.96,1.51,-18.3484209562101,3.48682244886804,3.01563022604803
"681",0.97,1.51,-17.9442722618238,3.48757121627365,3.0162778086691
"682",0.98,1.51,-17.5442687553034,3.48830497438032,3.01691241027487
"683",0.99,1.51,-17.1483262682067,3.4890241699279,3.01753441723495
"684",1,1.51,-16.7563631699202,3.48972923210449,3.01814420073902
"685",0.92,1.53,-20.0618060469539,3.48366768476924,3.01290178142205
"686",0.93,1.53,-19.6401803188895,3.48448134074769,3.0136054838899
"687",0.94,1.53,-19.2230640433363,3.4852780059468,3.01429449162967
