"","prop","mu","prob","meanN","meanNb"
"132",0.97,0.29,-56.7638486812444,3.44474128638196,3.13440423355476
"133",0.98,0.29,-56.2305106725506,3.44547234126062,3.13506942763354
"134",0.99,0.29,-55.7025873564217,3.44618889135012,3.13572142366092
"135",1,0.29,-55.1799698920396,3.44689136401487,3.13636061050002
"136",0.92,0.31,-58.6311269847135,3.44085220723295,3.13086552189665
"137",0.93,0.31,-58.0689593472943,3.44166284082681,3.131603125437
"138",0.94,0.31,-57.5128043132234,3.4424565518185,3.13232533093395
"139",0.95,0.31,-56.9625346280354,3.44323386453746,3.13303261548003
"140",0.96,0.31,-56.4180270349361,3.44399528187771,3.1337254366635
"141",0.97,0.31,-55.8791621090877,3.44474128638196,3.13440423355476
"142",0.98,0.31,-55.3458241003938,3.44547234126062,3.13506942763354
"143",0.99,0.31,-54.8179007842649,3.44618889135012,3.13572142366092
"144",1,0.31,-54.2952833198828,3.44689136401487,3.13636061050002
"145",0.92,0.33,-57.8191561849866,3.44085220723295,3.13086552189665
"146",0.93,0.33,-57.2569885475674,3.44166284082681,3.131603125437
"147",0.94,0.33,-56.7008335134965,3.4424565518185,3.13232533093395
"148",0.95,0.33,-56.1505638283086,3.44323386453746,3.13303261548003
"149",0.96,0.33,-55.6060562352092,3.44399528187771,3.1337254366635
"150",0.97,0.33,-55.0671913093608,3.44474128638196,3.13440423355476
"151",0.98,0.33,-54.5338533006669,3.44547234126062,3.13506942763354
"152",0.99,0.33,-54.005929984538,3.44618889135012,3.13572142366092
"153",1,0.33,-53.4833125201559,3.44689136401487,3.13636061050002
"154",0.92,0.35,-57.0711132263586,3.44085220723295,3.13086552189665
"155",0.93,0.35,-56.5089455889394,3.44166284082681,3.131603125437
"156",0.94,0.35,-55.9527905548685,3.4424565518185,3.13232533093395
"157",0.95,0.35,-55.4025208696806,3.44323386453746,3.13303261548003
"158",0.96,0.35,-54.8580132765812,3.44399528187771,3.1337254366635
"159",0.97,0.35,-54.3191483507328,3.44474128638196,3.13440423355476
"160",0.98,0.35,-53.785810342039,3.44547234126062,3.13506942763354
"161",0.99,0.35,-53.25788702591,3.44618889135012,3.13572142366092
"162",1,0.35,-52.735269561528,3.44689136401487,3.13636061050002
"163",0.92,0.37,-56.3796841972308,3.44085220723295,3.13086552189665
