"","lambda","mu","prob","meanN","meanNb"
"817",1.01,0.63,-15.7546616273883,1.63603434382549,1.49954788331629
"818",1.11,0.63,-15.8781686861572,1.70564521784512,1.55564528052536
"819",1.21,0.63,-16.0070393814682,1.7763935045119,1.61288013031944
"820",1.31,0.63,-16.1411879962295,1.84825976717523,1.67123302913749
"821",1.41,0.63,-16.2805255128237,1.92122320384276,1.73068322838428
"822",1.51,0.63,-16.4249598615044,1.99526167944473,1.79120867539204
"823",1.61,0.63,-16.5743961667528,2.07035174463735,1.85278604314944
"824",1.71,0.63,-16.7287369883005,2.146468639184,1.91539074697708
"825",1.81,0.63,-16.8878825537331,2.22358627859606,1.97899694688396
"826",1.91,0.63,-17.0517309798994,2.30167722346778,2.04357753499214
"827",2.01,0.63,-17.2201784807457,2.3807126317644,2.10910410813457
"828",2.11,0.63,-17.3931195596698,2.46066219518187,2.17554692648043
"829",2.21,0.63,-17.5704471850192,2.54149406154718,2.24287485978694
"830",2.31,0.63,-17.7520529479211,2.6231747460309,2.31105532358075
"831",2.41,0.63,-17.9378272022149,2.70566903465986,2.38005420820353
"832",2.51,0.63,-18.1276591868285,2.78893988421506,2.44983580418542
"833",0.01,0.65,-14.8513407692426,1.00568190892819,1.00433055757684
"834",0.11,0.65,-14.9149468973158,1.06318654318079,1.04832167831593
"835",0.21,0.65,-14.9846288287018,1.12193654690698,1.09355816852861
"836",0.31,0.65,-15.0603440809018,1.18192894492939,1.14003705303779
"837",0.41,0.65,-15.1420449228485,1.24315892058566,1.18775351518481
"838",0.51,0.65,-15.2296784833893,1.30561984115129,1.23670092227044
"839",0.61,0.65,-15.3231868836584,1.3693032923702,1.28687086015254
"840",0.71,0.65,-15.4225073920547,1.43419912125148,1.33825317622774
"841",0.81,0.65,-15.5275726002327,1.50029548587561,1.3908360296551
"842",0.91,0.65,-15.638310618177,1.56757891050187,1.44460594727907
"843",1.01,0.65,-15.7546452860984,1.63603434382549,1.49954788331629
"844",1.11,0.65,-15.8764964005534,1.70564521784512,1.55564528052536
"845",1.21,0.65,-16.0037799518923,1.7763935045119,1.61288013031944
